reference,post id,sentence_no,text,response
suicide,0,0,"I’m in my early 20’s and been suffering with wanting to be dead for years, hoping on day I’m speeding in my car I just lose control and crash so it looks like a accident","{'optimism': 0.8715770840644836, 'annoyance': 0.02793806418776512, 'anger': 0.025943027809262276, 'sadness': 0.011202007532119751, 'disgust': 0.009127778932452202, 'neutral': 0.008468312211334705, 'disapproval': 0.007733514066785574, 'desire': 0.007216451223939657, 'amusement': 0.006422341801226139, 'fear': 0.005854256916791201, 'embarrassment': 0.005262594670057297, 'nervousness': 0.004038788378238678, 'realization': 0.001727706054225564, 'disappointment': 0.001580517622642219, 'confusion': 0.0010952107841148973, 'remorse': 0.0008940490079112351, 'approval': 0.0006448698695749044, 'caring': 0.000581566069740802, 'curiosity': 0.0005726261297240853, 'surprise': 0.0005284358048811555, 'grief': 0.00036006784648634493, 'pride': 0.00030682302895002067, 'joy': 0.00026832945877686143, 'gratitude': 0.0002029919996857643, 'relief': 0.00016695215890649706, 'love': 0.0001352557446807623, 'excitement': 0.00011835644545499235, 'admiration': 3.204515451216139e-05}"
suicide,0,1,"I’m so tired, I don’t understand how people live and work till they die","{'confusion': 0.9797978401184082, 'realization': 0.009447871707379818, 'curiosity': 0.0018082309979945421, 'surprise': 0.0017618179554119706, 'nervousness': 0.0016078706830739975, 'embarrassment': 0.0007178690284490585, 'gratitude': 0.000651583366561681, 'amusement': 0.0006270454032346606, 'disapproval': 0.0006005223840475082, 'grief': 0.00043379253474995494, 'fear': 0.00037347053876146674, 'disappointment': 0.00030370455351658165, 'sadness': 0.0002948991605080664, 'relief': 0.0002911034971475601, 'annoyance': 0.0002211943210568279, 'love': 0.0001811003457987681, 'remorse': 0.0001759400765877217, 'neutral': 0.00016567209968343377, 'pride': 0.0001293483655899763, 'joy': 6.33190429653041e-05, 'excitement': 6.294556806096807e-05, 'disgust': 5.5924279877217487e-05, 'approval': 4.818800516659394e-05, 'anger': 4.704314051195979e-05, 'optimism': 4.401414480526e-05, 'caring': 3.4429351217113435e-05, 'desire': 3.284313061158173e-05, 'admiration': 2.0375149688334204e-05}"
suicide,0,2,"I’m already just smooching off my parents and living in there basement doing nothing with my life, well I do tons of things like I said I got some good hobby’s to keep me busy but nothing entertains me, I just rather be dead so I don’t have to do anything","{'joy': 0.4747195541858673, 'realization': 0.21933314204216003, 'sadness': 0.1380206197500229, 'neutral': 0.10220586508512497, 'disappointment': 0.017616888508200645, 'approval': 0.006384511012583971, 'fear': 0.003879010211676359, 'love': 0.0037889780942350626, 'grief': 0.0037423630710691214, 'nervousness': 0.003271876135841012, 'annoyance': 0.0030620498582720757, 'amusement': 0.00295867002569139, 'pride': 0.002899618586525321, 'relief': 0.0028193220496177673, 'disgust': 0.002771310042589903, 'caring': 0.0023040289524942636, 'excitement': 0.002264450304210186, 'disapproval': 0.0019092985894531012, 'optimism': 0.0013374247355386615, 'remorse': 0.0009460208239033818, 'admiration': 0.0007889116532169282, 'gratitude': 0.0007561326492577791, 'desire': 0.000524486880749464, 'surprise': 0.000520615722052753, 'anger': 0.00048362548113800585, 'embarrassment': 0.00040057304431684315, 'confusion': 0.0001835423317970708, 'curiosity': 0.00010700969869503751}"
suicide,1,0,I just want to be loved,"{'love': 0.9033962488174438, 'desire': 0.08243334293365479, 'joy': 0.003344520926475525, 'amusement': 0.002121174009516835, 'anger': 0.0019006050424650311, 'admiration': 0.0014978063991293311, 'excitement': 0.0008909226162359118, 'grief': 0.000669632398057729, 'caring': 0.0005828799330629408, 'disgust': 0.00045812592725269496, 'pride': 0.0004376229480840266, 'fear': 0.00037154502933844924, 'annoyance': 0.00029652108787558973, 'embarrassment': 0.00024462680448777974, 'disapproval': 0.00019709549087565392, 'optimism': 0.00016913835133891553, 'sadness': 0.00015183385403361171, 'curiosity': 0.00013328989734873176, 'gratitude': 0.00012458939454518259, 'nervousness': 0.0001172720585600473, 'surprise': 8.380320650758222e-05, 'approval': 7.833422569092363e-05, 'disappointment': 7.287520566023886e-05, 'remorse': 7.210997137008235e-05, 'confusion': 5.949592014076188e-05, 'neutral': 3.888642822857946e-05, 'realization': 3.742846820387058e-05, 'relief': 1.8353886844124645e-05}"
suicide,1,1,I want anything but how I feel right now,"{'sadness': 0.4201304316520691, 'nervousness': 0.16788120567798615, 'fear': 0.11139979213476181, 'anger': 0.07237248122692108, 'neutral': 0.07065551728010178, 'disappointment': 0.05196187272667885, 'annoyance': 0.0423017218708992, 'realization': 0.024281423538923264, 'desire': 0.008051017299294472, 'love': 0.005054540932178497, 'surprise': 0.0032072090543806553, 'grief': 0.002968766028061509, 'disgust': 0.0027380804531276226, 'approval': 0.002340710489079356, 'pride': 0.0022181656677275896, 'disapproval': 0.0019109478453174233, 'optimism': 0.0018445454770699143, 'embarrassment': 0.0017304773209616542, 'confusion': 0.0013469370314851403, 'joy': 0.0011935532093048096, 'amusement': 0.0010211365297436714, 'remorse': 0.0008518357062712312, 'caring': 0.0007995935739018023, 'excitement': 0.0006134647410362959, 'relief': 0.0005435218918137252, 'curiosity': 0.0004954197211191058, 'admiration': 5.436419087345712e-05, 'gratitude': 3.128131356788799e-05}"
suicide,2,0,"every single time when I see articles about people committing suicide, I feel envious","{'realization': 0.9379706978797913, 'embarrassment': 0.022121582180261612, 'surprise': 0.009904175996780396, 'disapproval': 0.006302560213953257, 'confusion': 0.0047897398471832275, 'annoyance': 0.003652898594737053, 'amusement': 0.002786529017612338, 'excitement': 0.002648199675604701, 'curiosity': 0.0013087989063933492, 'pride': 0.001296464935876429, 'nervousness': 0.0009735486237332225, 'disgust': 0.0007814484415575862, 'remorse': 0.0006520200986415148, 'neutral': 0.0006126281223259866, 'joy': 0.0005662227049469948, 'desire': 0.00044846953824162483, 'fear': 0.0004363110929261893, 'sadness': 0.00042156080598942935, 'love': 0.0003677672939375043, 'disappointment': 0.0003544050850905478, 'grief': 0.00029347286908887327, 'optimism': 0.00028380120056681335, 'relief': 0.00024406304873991758, 'anger': 0.00021531875245273113, 'gratitude': 0.00020393513841554523, 'approval': 0.00013218149251770228, 'caring': 0.00011682909826049581, 'admiration': 0.0001143116460298188}"
suicide,2,1,I envy their braveness,"{'pride': 0.3189009428024292, 'annoyance': 0.17871500551700592, 'admiration': 0.10242658108472824, 'embarrassment': 0.08103436231613159, 'disgust': 0.07147841900587082, 'desire': 0.06601407378911972, 'realization': 0.03761111572384834, 'neutral': 0.03620230779051781, 'amusement': 0.031805627048015594, 'optimism': 0.02273075096309185, 'anger': 0.01855607144534588, 'disapproval': 0.00794206652790308, 'approval': 0.007271015550941229, 'disappointment': 0.004486367106437683, 'joy': 0.0041740937158465385, 'surprise': 0.0022061706986278296, 'excitement': 0.002125177998095751, 'relief': 0.0016826764913275838, 'nervousness': 0.0008618508582003415, 'remorse': 0.0008195507107302547, 'sadness': 0.000672249763738364, 'gratitude': 0.0006220155628398061, 'fear': 0.0005084694130346179, 'love': 0.0004117797070648521, 'grief': 0.0003271929454058409, 'curiosity': 0.0001651912898523733, 'confusion': 0.00015523185720667243, 'caring': 9.366843733005226e-05}"
suicide,3,0,"I do not have the following;- family- friends- pets- a job- schoolingAnything I enjoy doing, is not worth the lifetime of pain and suffering","{'disapproval': 0.9476414322853088, 'neutral': 0.018821092322468758, 'realization': 0.013844970613718033, 'approval': 0.006493856664747, 'annoyance': 0.0034908801317214966, 'amusement': 0.0019659511744976044, 'joy': 0.0013986489502713084, 'disgust': 0.0012462742161005735, 'disappointment': 0.0011514726793393493, 'sadness': 0.0010935604805126786, 'anger': 0.0006862343871034682, 'love': 0.0005185265326872468, 'confusion': 0.0003229888097848743, 'optimism': 0.00021428910258691758, 'embarrassment': 0.00017500828835181892, 'fear': 0.00015817422536201775, 'caring': 0.00013229557953309268, 'remorse': 9.108815720537677e-05, 'admiration': 8.845412958180532e-05, 'nervousness': 8.550650818506256e-05, 'gratitude': 7.987438584677875e-05, 'excitement': 6.124252104200423e-05, 'grief': 5.763482840848155e-05, 'surprise': 5.623377001029439e-05, 'relief': 3.698953878483735e-05, 'desire': 3.434011887293309e-05, 'curiosity': 3.1064802897162735e-05, 'pride': 2.1841773559572175e-05}"
suicide,3,1,"There is not one thing that can make it worth living, even if I enjoy it a lot","{'disapproval': 0.2957702577114105, 'approval': 0.2034960389137268, 'amusement': 0.17028559744358063, 'joy': 0.12587924301624298, 'realization': 0.0885225161910057, 'neutral': 0.07566024363040924, 'annoyance': 0.009317835792899132, 'love': 0.005998461972922087, 'optimism': 0.005759356543421745, 'disgust': 0.005360354669392109, 'disappointment': 0.0022598945070058107, 'sadness': 0.0022089544218033552, 'admiration': 0.0016474333824589849, 'confusion': 0.001136561157181859, 'anger': 0.001119732391089201, 'embarrassment': 0.0008619306609034538, 'pride': 0.0007472655852325261, 'remorse': 0.0005948169273324311, 'gratitude': 0.0005150277283973992, 'caring': 0.0005068984464742243, 'nervousness': 0.000457920745247975, 'relief': 0.00045461466652341187, 'desire': 0.000446966354502365, 'fear': 0.000332766241626814, 'excitement': 0.00031625910196453333, 'grief': 0.00017247494542971253, 'curiosity': 8.872560283634812e-05, 'surprise': 8.190227526938543e-05}"
suicide,3,2,There will not be one thing that will give me 80+ years of brain chemicals to make me happy,"{'joy': 0.9762340188026428, 'approval': 0.010639962740242481, 'neutral': 0.002226760145276785, 'caring': 0.0015960515011101961, 'amusement': 0.0013925182865932584, 'optimism': 0.0009632961009629071, 'disapproval': 0.0008723223581910133, 'desire': 0.0008711240370757878, 'admiration': 0.0008023058762773871, 'relief': 0.0006986740045249462, 'gratitude': 0.0005713777500204742, 'excitement': 0.0005303519428707659, 'disappointment': 0.000460521929198876, 'love': 0.0004195351211819798, 'realization': 0.0004095570184290409, 'annoyance': 0.0003162729262840003, 'disgust': 0.00030913541559129953, 'curiosity': 0.00025997572811320424, 'sadness': 0.0001885007368400693, 'surprise': 6.655756442341954e-05, 'anger': 3.879188807331957e-05, 'confusion': 3.1995634344639257e-05, 'pride': 2.376149313931819e-05, 'fear': 1.886237987491768e-05, 'grief': 1.8367152733844705e-05, 'remorse': 1.6505602616234683e-05, 'nervousness': 1.4255027963372413e-05, 'embarrassment': 8.620925655122846e-06}"
